park_name,latitude,longitude,ada_swing,baby_swings,baseball___adult,baseball___little_league,basketball,bike_path,bocce,boathouse,community_garden,dog_park_off_leash,dogs_on_leash,drinking_fountain,fishing,fitness_equipment,football,gazebo_shelter,historic_site,ice_rink,lawn,lighting,multipurpose_goal,performance_space,playground_age_6_and_up,pool,scenic_vista,seating,skateboard_features,soccer,softball,stick_ball,swings,tables,tennis_court,tennis_wall,tot_lot_ages_1_5,walking_path,water_play,water_feature,the_geom,cartodb_id,created_at,updated_at
Albion Playground,42.39206,-71.10788,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,true,true,true,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E61000001EF98381E7C651C0EE08A7052F324540,1,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Alewife Brook Reservation,42.41603,-71.13083,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0101000020E61000007CD5CA845FC851C0D313967840354540,2,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Allen Street Community Garden,42.37766,-71.09304,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,0101000020E6100000124E0B5EF4C551C0F180B22957304540,3,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Avon Community Garden,42.386,-71.103,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000003BDF4F8D97C651C0C520B07268314540,4,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Bailey Park,42.38803,-71.10903,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000001B12F758FAC651C0F6EE8FF7AA314540,5,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Bikeway Community Garden,42.39599,-71.11881,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E6100000041C42959AC751C082C5E1CCAF324540,6,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Central Hill Playground,42.38597,-71.0953,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,0101000020E6100000C3D32B6519C651C05A9E077767314540,7,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Chuckie Harris Park,42.38922,-71.08519,true,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E61000008FFCC1C073C551C07D7901F6D1314540,8,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Community Path (MBTA),42.39586,-71.11879,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0101000020E6100000E1455F419AC751C0B4E55C8AAB324540,9,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Conway Park,42.38285,-71.10813,false,true,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,0101000020E6100000DB6D179AEBC651C005A3923A01314540,10,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Corbett-McKenna Park,42.38093,-71.0928,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E61000006744696FF0C551C05B087250C2304540,11,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Davis Square Statue Park Plaza,42.39679,-71.12246,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,0101000020E61000005DC47762D6C751C09FB0C403CA324540,12,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Dickerman Playground,42.38657,-71.11154,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E6100000890CAB7823C751C0AFCE31207B314540,13,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Dilboy Pool & Fields (DCR),42.411,-71.13172,false,true,false,true,true,false,false,false,false,false,true,true,false,false,true,false,false,false,true,true,false,false,true,true,false,true,false,true,true,false,false,false,true,false,true,true,false,false,0101000020E6100000AA0EB9196EC851C0F853E3A59B344540,14,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Draw 7 Park (DCR),42.39268,-71.07634,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,false,false,true,false,false,0101000020E61000001BD82AC1E2C451C08AE5965643324540,15,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Durell Community Garden,42.38174,-71.11021,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000004C6C3EAE0DC751C09BC937DBDC304540,16,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Edward L. Leathers Community Park,42.38693,-71.09375,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,0101000020E61000000000000000C651C0AFEB17EC86314540,17,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Florence Playground,42.38257,-71.0829,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E6100000A835CD3B4EC551C02237C30DF8304540,18,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Foss Park,42.39164,-71.08771,false,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,false,0101000020E61000000F62670A9DC551C019E76F4221324540,19,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Glen Park & Capuano Field,42.38293,-71.08638,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,false,false,0101000020E6100000D3C1FA3F87C551C02254A9D903314540,20,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Grimmons Park,42.39736,-71.08845,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,true,false,true,false,0101000020E61000003255302AA9C551C0895E46B1DC324540,21,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Harris Playground,42.39037,-71.08403,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,0101000020E610000081785DBF60C551C075ABE7A4F7314540,22,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Henry Hansen Park,42.39547,-71.10272,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000004A29E8F692C651C04A46CEC29E324540,23,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Hodgkins-Curtin Park,42.39976,-71.12458,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,false,0101000020E6100000156F641EF9C751C0DE1FEF552B334540,24,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Hoyt-Sullivan Playground,42.3906,-71.10151,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,0101000020E6100000E38DCC237FC651C0A7E8482EFF314540,25,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Kenney Park,42.39531,-71.12037,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,0101000020E6100000D95A5F24B4C751C011E4A08499324540,26,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Lexington Park,42.39445,-71.11382,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,0101000020E61000005E68AED348C751C01FF46C567D324540,27,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Lincoln Park,42.37824,-71.09991,false,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,true,true,false,true,true,false,false,true,true,true,false,0101000020E6100000C6A2E9EC64C651C0FF04172B6A304540,28,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Marshall Street Playground,42.39031,-71.09409,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,0101000020E61000005C38109205C651C0A0A696ADF5314540,29,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Milk Row Cemetery,42.38161,-71.10204,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E610000091B8C7D287C651C0CDE9B298D8304540,30,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Morse-Kelley Playground,42.38798,-71.11053,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,true,false,true,true,false,false,false,0101000020E610000085CE6BEC12C751C044C02154A9314540,31,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Mystic River Reservation (DCR),42.39904,-71.087,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,0101000020E610000021B0726891C551C0DEE522BE13334540,32,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Nathan Tufts Park,42.40036,-71.1164,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,0101000020E61000004850FC1873C751C0335019FF3E334540,33,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
North Street Playground,42.4065,-71.1312,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,false,false,true,true,false,true,true,false,true,false,0101000020E61000000E4FAF9465C851C079E9263108344540,34,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Nunziato Field,42.38286,-71.09847,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,0101000020E6100000C7681D554DC651C02979758E01314540,35,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Osgood Park,42.38368,-71.10218,false,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,0101000020E61000008A93FB1D8AC651C08C101E6D1C314540,36,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Otis Street Playground,42.38829,-71.09023,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E61000008FC70C54C6C551C092AE997CB3314540,37,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Palmacci Playground,42.3799,-71.10598,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,0101000020E6100000ED815660C8C651C00DE02D90A0304540,38,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Paul Revere Park,42.3951,-71.09782,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000004339D1AE42C651C0265305A392324540,39,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Perkins Street Park,42.38519,-71.08075,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,0101000020E6100000BA490C022BC551C0855FEAE74D314540,40,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Perry Park,42.37956,-71.10342,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,0101000020E61000002670EB6E9EC651C0546F0D6C95304540,41,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Powerderhouse Community School Playground,42.40207,-71.12535,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000006EA301BC05C851C0F3599E0777334540,42,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Prospect Hill Park,42.3818,-71.09383,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000008E588B4F01C651C070CE88D2DE304540,43,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Quincy Street Park,42.38258,-71.10099,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E610000046CEC29E76C651C0450DA661F8304540,44,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Seven Hills Park,42.39706,-71.12411,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0101000020E6100000D2C6116BF1C751C05F46B1DCD2324540,45,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Somerville Junction Park,42.39082,-71.10345,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000005BB1BFEC9EC651C0B54FC76306324540,46,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Stone Place Park,42.38024,-71.09468,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E610000075E5B33C0FC651C0C6504EB4AB304540,47,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Sylvester Baxter Riverfront Park (DCR),42.39661,-71.08085,false,true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,true,true,false,true,true,false,false,false,false,false,true,false,false,false,true,true,false,0101000020E61000006C787AA52CC551C01FA2D11DC4324540,48,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Symphony Park,42.38396,-71.082621,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,0101000020E61000009F3D97A949C551C0707CED9925314540,49,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Trum Field,42.3976,-71.10713,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E6100000E99AC937DBC651C0DE718A8EE4324540,50,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Trum Playground,42.39733,-71.10843,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,true,false,0101000020E6100000F0F96184F0C651C01EDC9DB5DB324540,51,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Tufts Community Garden,42.404,-71.121,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E610000039B4C876BEC751C0C1CAA145B6334540,52,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Union Square Plaza,42.379,-71.094,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E6100000BC74931804C651C08D976E1283304540,53,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Veterans Cemetery,42.406,-71.132,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000009CC420B072C851C08716D9CEF7334540,54,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Walnut Street Park,42.38192,-71.09682,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,0101000020E61000005166834C32C651C01BD82AC1E2304540,55,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
West Somerville Neighborhood Playground,42.40658,-71.12672,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E6100000F2EF332E1CC851C0959A3DD00A344540,56,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Woodstock Playground,42.40452,-71.13402,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E6100000A3409FC893C851C0F949B54FC7334540,57,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Zero New Washington Street Dog Park,42.38007,-71.08195,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,0101000020E6100000107A36AB3EC551C06A183E22A6304540,58,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
